airport_id,airport_name,iata_code,icao_code
522,Grand Strand Airport,CRE,KCRE
523,Van De Graaf,TCL,KTCL
524,Mathis Field,SJT,KSJT
525,Downtown,MKC,KMKC
526,Brainerd Lakes Regional,BRD,KBRD
527,,BEH,KBEH
528,Mc Clellan-Palomar Airport,CLD,KCRQ
529,Reykjavik Domestic,RKV,BIRK
530,Central Illinois Regional Airport at Bloomington-Normal,BMI,KBMI
531,Hardy-Anders,HEZ,KHEZ
532,Boise Air Terminal/Gowen Field,BOI,KBOI
533,Bole International,ADD,HAAB
534,Rochambeau,CAY,SOCA
535,Dayton-Wright Brothers Airport,MGY,KMGY
536,Warren County,GFL,KGFL
537,MBS International,MBS,KMBS
538,,HCC,
539,Municipal,OCE,KOXB
540,Mineta San Jose International Airport,SJC,KSJC
541,Alpena County Regional,APN,KAPN
542,Jackson Hole,JAC,KJAC
543,Windsor,YQG,CYQG
544,Raf Brize Norton,BZZ,EGVN
545,Augusta,AUG,KAUG
546,Robert Lafleur,WVL,KWVL
547,Charlottetown,YYG,CYYG
548,Hazleton,HZL,KHZL
549,Niagara Falls International Airport,IAG,KIAG
550,Watertown,ART,KART
551,Muskoka,YQA,CYQA
552,Dundee,DND,EGPN
553,Caldwell Wright,CDW,KCDW
554,Coeur D'Alene,COE,KCOE
555,Sun Valley,SUN,KSUN
556,Colorado Springs,COS,KCOS
557,Auburn,LEW,KLEW
558,Butler County - Kenny Scholter Field,BTP,KBTP
559,South Lake Tahoe,TVL,KTVL
560,St Catharines,YCM,CYSN
561,Jamestown,JHW,KJHW
562,Chicago O'hare International,ORD,ORD
563,Gerald R. Ford International,GRR,GRR
564,Pittsburgh International,PIT,PIT
565,Indianapolis International,IND,IND
566,Lincoln,LNK,KLNK
567,Kansai International,KIX,RJBB
568,Beirut Rafic Hariri Airport,BEY,OLBA
569,Port Columbus International,CMH,CMH
570,NAS Chambers,NGU,KNGU
571,Lake Placid,LKP,KLKP
572,,IMS,KIMS
573,Buchanan Field,CCR,KCCR
574,Greater Peoria,PIA,KPIA
575,Rickenbacker,LCK,KLCK
576,Statesville Municipal,SVH,KSVH
577,Forbes Field,FOE,KFOE
578,Reynolds Municipal,JXN,KJXN
579,Midland International,MAF,KMAF
580,Grissom AFB,GUS,KGUS
581,Copernicus Airport,WRO,EPWR
582,Brainard,HFD,KHFD
583,Greenbrier Valley,LWB,KLWB
584,Morrisville-Stowe,MVL,KMVL
585,Wayne County,BJJ,KBJJ
586,Jacksonville NAS,NIP,KNIP
587,Downtown,STP,KSTP
588,Airpark,MDD,KMDD
589,Griffiss AFB,RME,KRME
590,Melville Hall,DOM,TDPD
591,Marana,MZJ,KMZJ
592,Beckley,BKW,KBKW
593,Lakefront,NEW,KNEW
